trail_id,trail_name,national_park,state,popularity,length,elevation,difficulty,route_type,rating,num_reviews,trailhead_lat,trailhead_long
10029730,Marion Lake Trail,Grand Teton National Park,Wyoming,8.4,13.4,1161.9,5,loop,4.5,18,43.59701,-110.87123
10036922,Cascade Lake Trail,Yellowstone National Park,Wyoming,8.3,4.4,55.8,3,out and back,4.0,44,44.75158,-110.4859
10261643,Firehole Lake Drive,Yellowstone National Park,Wyoming,8.2,3.3,46.9,1,point to point,4.5,21,44.53535,-110.81771
10259176,Cascade Lake Trail to Observation Peak,Yellowstone National Park,Wyoming,8.2,9.3,474.9,3,out and back,4.5,33,44.75033,-110.49141
10261656,Calcite Springs Overlook Trail,Yellowstone National Park,Wyoming,8.2,0.2,6.7,1,loop,4.5,25,44.90176,-110.39314
10349967,"Surprise, Amphitheater and Delta Lakes via Amphitheater Trail",Grand Teton National Park,Wyoming,8.1,11.5,1117.7,5,out and back,5.0,33,43.73443,-110.74154
10004763,Riddle Lake Trail,Yellowstone National Park,Wyoming,8.1,4.7,41.8,1,out and back,4.0,24,44.35837,-110.58205
10287095,Yellowstone River Picnic Area Loop Trail,Yellowstone National Park,Wyoming,8.0,3.9,139.0,1,loop,4.5,29,44.91683,-110.40025
10038303,Jackson Hole Mountain Resort Loop,Grand Teton National Park,Wyoming,8.0,3.1,328.0,3,loop,4.5,23,43.59724,-110.87128
10011254,Garnet Hill Loop Trail,Yellowstone National Park,Wyoming,8.0,8.7,229.8,3,loop,4.5,35,44.91588,-110.41665
10306012,Mystic Falls - Geyser Basin Loop,Yellowstone National Park,Wyoming,7.9,8.9,282.9,3,loop,4.5,14,44.48557,-110.85224
10233676,Electric Peak,Yellowstone National Park,Wyoming,7.8,20.3,1610.0,5,out and back,5.0,13,44.97359,-110.70451
10001284,Ribbon Lake Trail,Yellowstone National Park,Wyoming,7.8,4.1,175.9,1,out and back,4.0,46,44.71981,-110.48014
10039529,Oxbow Bend Overlook,Grand Teton National Park,Wyoming,7.8,0.0,0.0,1,out and back,4.0,19,43.86616,-110.54766
10013052,Specimen Ridge Trail,Yellowstone National Park,Wyoming,7.8,16.9,1176.8,5,point to point,4.5,19,44.91234,-110.38736
10294294,Bechler River Trail: Lone Star Trailhead to Belcher Ranger Station,Yellowstone National Park,Wyoming,7.8,38.5,638.9,3,point to point,5.0,9,44.44449,-110.80458
10039770,Dunanda Falls and Silver Scarf Falls Trail,Yellowstone National Park,Wyoming,7.7,17.0,251.8,3,out and back,4.5,18,44.14865,-111.04654
10235847,Mount Hunt Divide via Death Canyon Trail,Grand Teton National Park,Wyoming,7.6,22.5,1734.9,5,loop,5.0,16,43.65578,-110.7811
10037258,Harlequin Lake Trail,Yellowstone National Park,Wyoming,7.5,1.0,41.8,1,out and back,3.5,26,44.64025,-110.88732
10028261,Monument Geyser Basin Trail,Yellowstone National Park,Wyoming,7.5,2.3,205.7,3,out and back,3.5,45,44.68367,-110.74457
10336781,Osprey Falls,Yellowstone National Park,Wyoming,7.4,8.5,385.0,3,out and back,4.5,36,44.93215,-110.72805
10341082,Lake of the Crags Trail,Grand Teton National Park,Wyoming,7.3,4.3,881.8,5,out and back,4.5,24,43.76718,-110.74424
10039521,Delacy Creek Trail to Shoshone Lake,Yellowstone National Park,Wyoming,7.3,28.3,833.9,5,loop,4.5,13,44.44681,-110.70158
10289682,Brink of Lower Falls via North Rim Trail,Yellowstone National Park,Wyoming,7.2,2.3,146.9,1,out and back,4.0,19,44.72148,-110.48787
10007017,Sepulcher Mountain Trail,Yellowstone National Park,Wyoming,7.2,11.2,1072.0,5,loop,4.5,33,44.97375,-110.70439
10026570,Ice Lake and Little Gibbon Falls Loop,Yellowstone National Park,Wyoming,7.2,3.7,82.9,1,loop,4.0,30,44.71277,-110.627
10039035,The Thorofare and South Boundary Trail,Yellowstone National Park,Wyoming,7.1,67.5,1753.8,7,point to point,5.0,14,44.50569,-110.27554
10426289,Lily Pad Lake via Artist's Point,Yellowstone National Park,Wyoming,7.1,2.0,86.0,1,out and back,4.5,36,44.71969,-110.4803
10259213,Heart Lake Trail,Yellowstone National Park,Wyoming,7.1,14.9,434.9,3,out and back,4.5,17,44.31711,-110.59861
10028258,Colter Bay Village,Grand Teton National Park,Wyoming,7.1,1.3,16.8,1,out and back,4.0,8,43.90369,-110.64383
10293189,"Devil Staircase, Death Canyon Shelf and Phelps Lake",Grand Teton National Park,Wyoming,7.0,21.3,1043.9,7,point to point,4.5,16,43.75571,-110.91539
10026572,Blacktail Deer Creek Trail,Yellowstone National Park,Wyoming,6.9,7.4,379.8,3,out and back,4.5,26,44.95555,-110.59363
10038304,Sentinel Meadows Trail,Yellowstone National Park,Wyoming,6.9,3.5,45.7,3,out and back,4.5,18,44.5672,-110.83514
10357712,Bunsen Peak Loop,Yellowstone National Park,Wyoming,6.9,10.0,774.8,3,loop,5.0,30,44.93223,-110.72793
10291988,Palette Spring via Mammoth Terraces,Yellowstone National Park,Wyoming,6.8,0.3,5.8,1,out and back,4.0,30,44.9738,-110.70431
10026573,Lunch Tree Hill Trail,Grand Teton National Park,Wyoming,6.7,0.5,31.7,1,out and back,4.0,26,43.87751,-110.57794
10346638,Holly Lake via Leigh Lake Trail to Paintbrush Canyon Trail,Grand Teton National Park,Wyoming,6.6,13.0,826.9,5,out and back,5.0,29,43.78852,-110.73063
10039515,The Hoodoos,Yellowstone National Park,Wyoming,6.6,5.4,247.8,3,out and back,4.0,13,44.93225,-110.72812
10261650,Petrified Tree Trail,Yellowstone National Park,Wyoming,6.5,0.1,5.8,1,out and back,3.5,42,44.91556,-110.43848
10291206,South Rim to Ribbon Lake Loop Trail,Yellowstone National Park,Wyoming,6.5,7.9,218.8,1,loop,4.0,6,44.71876,-110.48242
10330099,Fairy Falls and Imperial Geyser Loop,Yellowstone National Park,Wyoming,6.4,8.8,107.0,3,loop,4.5,13,44.51543,-110.8325
10272157,Specimen Ridge and Amethyst Mountain Trails,Yellowstone National Park,Wyoming,6.3,8.0,499.0,3,out and back,4.5,17,44.9124,-110.38709
10405509,Upper and Lower Undine Falls,Yellowstone National Park,Wyoming,6.2,1.6,78.9,1,out and back,4.0,23,44.94085,-110.6321
10268855,Black Tail Butte Peak Trail,Grand Teton National Park,Wyoming,6.2,6.5,422.8,3,out and back,4.5,24,43.66135,-110.69771
10120722,Mystic Falls to Ferry Creek Loop,Yellowstone National Park,Wyoming,6.2,16.9,534.9,5,loop,4.5,5,44.50703,-110.83344
10340707,Clear Lake Artist's Point Loop via Wapiti Lake Trailhead,Yellowstone National Park,Wyoming,6.2,4.6,121.9,1,loop,4.5,18,44.70785,-110.50075
